update,frames,FPS,duration,,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,,return_mean,return_std,return_min,return_max,teach_reward_mean,teach_reward_mean_std,teach_intrinr_mean,teach_intrinr_std,difficulty,goal_count,reached_per_mean,goal_entropy,goal_value,goal_policy_loss,goal_value_loss,goal_grad_norm,teacher_return_mean,teacher_return_std,teacher_return_min,teacher_return_max
23,117760,170.4034367,678,,0.181690363,0.504502776,0,2.667000055,91.60110585,24.84917471,0,100,1.343519926,0.095643972,-0.004407878,0.016068219,0.082326725,,0.056079778,0.193173179,0,0.97299999,-0.102629816,0.548333266,-0.27775146,0.105413415,5,1.05371248,2.738283307,0,0,0,0,0,-0.091076631,0.574131938,-0.600000024,2.35800004
24,122880,185.259681,706,,0.197713962,0.52740402,0,2.667000055,91,25.64021017,0,100,1.35138486,0.12551213,-0.020475131,0.028513733,0.159840781,,0.063716981,0.207494778,0,0.97299999,-0.0832463,0.579198171,-0.278364791,0.103974724,5,1.052075472,2.65408805,5.858219147,0.333385795,-0.153121755,0.752221882,3.581324508,-0.072056615,0.602353101,-0.600000024,2.35800004
25,128000,173.1885926,735,,0.210904627,0.542176437,0,2.667000055,90.69537367,25.95563721,0,100,1.220118284,0.146616665,-0.00519314,0.02294642,0.127673138,,0.068581494,0.215610947,0,0.97299999,-0.069325752,0.597589848,-0.276631091,0.107946241,5,1.056227758,2.835112693,0,0,0,0,0,-0.057468338,0.619947364,-0.600000024,2.35800004
26,133120,180.3820005,764,,0.212268091,0.544225144,0,2.667000055,90.73328739,25.9054074,0,100,1.173240316,0.121878363,0.018686367,0.00811022,0.085801485,,0.069203308,0.21673654,0,0.97299999,-0.067376762,0.600494648,-0.276682759,0.107762113,5,1.05582357,2.81415116,0,0,0,0,0,-0.055124753,0.623556035,-0.600000024,2.35800004
27,138240,183.3386342,792,,0.214772667,0.547768178,0,2.667000055,90.74,25.85277032,0,100,1.196062285,0.107330226,0.003488371,0.011347638,0.095092904,,0.070073333,0.217977615,0,0.97299999,-0.064992788,0.603014823,-0.276111123,0.108881802,5,1.057333333,2.888888889,5.854848862,-0.080270573,0.09266983,0.647467911,2.036394148,-0.052260011,0.625969708,-0.600000024,2.35800004
28,143360,188.6954932,819,,0.230626923,0.56756276,0,2.667000055,90.17307692,26.58533996,0,100,1.142561066,0.12661475,-0.011324116,0.020166089,0.138747437,,0.076903846,0.229379023,0,0.97299999,-0.047711015,0.626963197,-0.276068388,0.10904891,5,1.058974359,2.927350427,0,0,0,0,0,-0.035019242,0.648666803,-0.600000024,2.35800004
29,148480,171.8780197,849,,0.228159927,0.564708017,0,2.667000055,90.36580882,26.37285225,0,100,1.273450917,0.116111571,0.025159784,0.008120653,0.075962413,,0.076045955,0.228668973,0,0.97299999,-0.051220701,0.624319161,-0.276817822,0.10737905,5,1.058210784,2.890114379,5.851918221,0.236076415,-0.056156542,0.762479544,2.159208869,-0.039333957,0.645535356,-0.600000024,2.35800004
30,153600,175.5893154,878,,0.229899465,0.565342428,0,2.667000055,90.41760857,26.24737984,0,100,1.27879734,0.114516507,0.00371747,0.019818136,0.108383655,,0.076366448,0.228590593,0,0.97299999,-0.049153589,0.626273593,-0.276898683,0.10714327,5,1.058298632,2.895102122,0,0,0,0,0,-0.037553848,0.647023122,-0.600000024,2.35800004
31,158720,175.6998785,907,,0.226677868,0.561282264,0,2.667000055,90.60660487,25.98816342,0,100,1.344190675,0.095083692,0.028544989,0.005316256,0.063656125,,0.075038818,0.22654558,0,0.97299999,-0.052944487,0.621767722,-0.276921603,0.107038385,5,1.057937428,2.877558903,0,0,0,0,0,-0.041415422,0.642319197,-0.600000024,2.35800004
32,163840,167.6785508,938,,0.225829007,0.560245295,0,2.667000055,90.6755079,25.86222413,0,100,1.312614191,0.097964021,0.004941586,0.015402165,0.123899232,,0.074947516,0.226215606,0,0.97299999,-0.053174672,0.621604196,-0.276862314,0.107401704,5,1.058126411,2.868698269,5.852783203,-0.150880277,0.196236148,0.292753547,0.63009002,-0.041418183,0.642201966,-0.600000024,2.35800004
33,168960,170.6339961,968,,0.226833423,0.563606464,0,2.909999847,90.68307193,25.81213361,0,100,1.379106456,0.100834238,-0.00345256,0.020864209,0.104194292,,0.075793942,0.227483419,0,0.97299999,-0.05279206,0.623046753,-0.277555447,0.105826576,5,1.056787453,2.803317108,0,0,0,0,0,-0.040971888,0.643693393,-0.600000024,2.35800004
34,174080,175.1991061,997,,0.228953635,0.56587503,0,2.909999847,90.64752371,25.83151612,0,100,1.410643756,0.100774484,-0.000139834,0.013840933,0.111172476,,0.076796101,0.228835054,0,0.97299999,-0.049787418,0.627045326,-0.277871455,0.105085367,5,1.055848261,2.757288374,5.858422756,0.038701497,-0.045016073,0.547589302,0.935547504,-0.038167029,0.647047261,-0.600000024,2.35800004
35,179200,180.2271682,1025,,0.233591795,0.57142887,0,2.909999847,90.48461538,26.07030965,0,100,1.325670183,0.107043332,-0.001247265,0.017901919,0.147341206,,0.079023076,0.232693917,0,0.97299999,-0.044082318,0.634711068,-0.277692319,0.105413725,5,1.055897436,2.760683761,0,0,0,0,0,-0.032464114,0.654019887,-0.600000024,2.35800004
36,184320,178.8577851,1054,,0.2359035,0.574133717,0,2.909999847,91.686,24.12443583,0,100,1.353107595,0.097303943,0.00882526,0.01345276,0.092765282,,0.079526,0.233775118,0,0.97299999,-0.04582051,0.636136259,-0.276500012,0.107899001,5,1.0585,2.891666667,5.863372326,-0.032416839,-0.040187556,0.48101607,0.322633187,-0.033424011,0.655959017,-0.600000024,2.35800004
37,189440,175.8387647,1083,,0.249852,0.589613597,0,2.909999847,91.949,23.45771513,3,100,1.261115921,0.107323336,-0.008682732,0.021980646,0.133491763,,0.085159,0.241519082,0,0.97299999,-0.03229651,0.655268068,-0.276250012,0.108422239,6,1.059,2.916666667,0,0,0,0,0,-0.019441011,0.675230313,-0.600000024,2.35800004
38,194560,178.647721,1112,,0.256736,0.597390036,0,2.909999847,91.6265,23.93908933,3,100,1.328991234,0.108219577,0.006278484,0.015338355,0.122541943,,0.088411499,0.246291578,0,0.97299999,-0.02399401,0.665113678,-0.275750012,0.109459499,6,1.06,2.966666667,0,0,0,0,0,-0.010938511,0.684723951,-0.600000024,2.35800004
39,199680,177.187922,1141,,0.265759,0.606341555,0,2.909999847,91.282,24.39480428,3,100,1.321547121,0.117060082,0.00306573,0.011842908,0.10600773,,0.091962,0.250889019,0,0.97299999,-0.01459351,0.675915026,-0.275750012,0.109459499,6,1.0605,2.991666667,5.866324425,0.070367843,-0.265627027,0.79102397,0.990908449,-0.001688011,0.695140896,-0.600000024,2.35800004
40,204800,177.5622106,1170,,0.273963,0.61627838,0,2.909999847,90.961,24.76353123,3,100,1.318266952,0.120730015,-0.003057466,0.020666346,0.112683399,,0.095350999,0.254692367,0,0.97299999,-0.00605751,0.685309911,-0.276250012,0.108422239,6,1.06,2.966666667,0,0,0,0,0,0.007350989,0.705411074,-0.600000024,2.35800004
41,209920,188.5679093,1197,,0.2749635,0.617121705,0,2.909999847,90.9685,24.78250407,3,100,1.356804901,0.099481221,0.002067022,0.015167154,0.101377805,,0.095333499,0.254810132,0,0.97299999,-0.00547226,0.685155024,-0.276250012,0.108422239,6,1.0605,2.991666667,0,0,0,0,0,0.007833489,0.704512897,-0.600000024,2.35800004
42,215040,173.7208899,1226,,0.28286,0.624264575,0,2.909999847,90.6085,25.23951719,3,100,1.278830028,0.130191603,-0.001605075,0.020090799,0.1130438,,0.0989735,0.259418309,0,0.97299999,0.00359599,0.695761089,-0.276500012,0.107899001,6,1.0605,2.991666667,5.871479511,0.178925499,0.090763405,0.50131613,1.241784356,0.016173489,0.713369496,-0.600000024,2.35800004
43,220160,175.1648002,1255,,0.2823965,0.622175122,0,2.909999847,90.6605,25.20494475,3,100,1.332157946,0.098076815,0.014035905,0.010134446,0.065183483,,0.0984055,0.259010062,0,0.97299999,0.00269274,0.694421897,-0.276000012,0.10894239,6,1.0625,3.091666667,0,0,0,0,0,0.014705489,0.711062803,-0.600000024,2.35800004
44,225280,181.9471153,1284,,0.292614501,0.632767755,0,2.909999847,90.273,25.70568947,3,100,1.326918745,0.108066391,-0.01137537,0.01614429,0.089842517,,0.102393,0.264000814,0,0.97299999,0.013803323,0.705256715,-0.274916679,0.111411368,6,1.0645,3.175,5.878407478,-0.093638599,0.156449422,0.471703053,0.867147874,0.027092989,0.723081691,-0.600000024,2.35800004
45,230400,179.1029724,1312,,0.295809001,0.634990283,0,2.909999847,90.1835,25.81106018,3,100,1.205454057,0.096011721,0.012092523,0.010570772,0.071917647,,0.1033485,0.265060977,0,0.97299999,0.017458824,0.707976859,-0.274166679,0.112912823,6,1.0655,3.225,0,0,0,0,0,0.031198489,0.725679884,-0.600000024,2.35800004
46,235520,173.1904335,1342,,0.302595001,0.640432386,0,2.909999847,89.9705,26.07544112,3,100,1.269692755,0.109414023,-0.007167427,0.014309075,0.080193968,,0.1055155,0.267706291,0,0.97299999,0.024154324,0.713210406,-0.272416679,0.11632208,6,1.0695,3.425,5.88329649,0.04138276,-0.197959796,0.718231797,0.564694447,0.038915489,0.732285033,-0.600000024,2.35800004
47,240640,181.9485737,1370,,0.307485001,0.642981335,0,2.909999847,89.872,26.14805186,3,100,1.230709368,0.096357575,0.001098467,0.019372504,0.119975995,,0.106652,0.268506624,0,0.97299999,0.029790824,0.716560046,-0.271166679,0.11868153,6,1.072,3.55,0,0,0,0,0,0.045051989,0.735608171,-0.600000024,2.35800004
48,245760,178.0365159,1399,,0.305547501,0.641215466,0,2.909999847,89.9515,26.08773941,3,100,1.24911567,0.09720416,0.018490954,0.005755563,0.078404448,,0.1057865,0.267836626,0,0.97299999,0.026975324,0.714128077,-0.271166679,0.11868153,6,1.0725,3.575,0,0,0,0,0,0.04208649,0.733398648,-0.600000024,2.35800004
49,250880,176.9002211,1428,,0.308876501,0.64422678,0,2.909999847,89.811,26.23562995,3,100,1.237849998,0.107911569,0.004564031,0.015112509,0.112969091,,0.107201,0.269369986,0,0.97299999,0.030839824,0.717826222,-0.270666679,0.12064917,6,1.0725,3.625,5.887025356,0.104645073,0.086672775,0.37418282,0.603715332,0.04595099,0.736920862,-0.600000024,2.35800004
50,256000,173.7568425,1457,,0.311526501,0.646385759,0,2.909999847,89.7025,26.39333237,3,100,1.217370981,0.10759442,0.010914156,0.010017328,0.068230526,,0.1083275,0.270887465,0,0.97299999,0.034666324,0.720853278,-0.269916679,0.1220109,6,1.0735,3.675,0,0,0,0,0,0.05022749,0.739791641,-0.600000024,2.35800004
51,261120,170.4836072,1487,,0.312264501,0.64564926,0,2.909999847,89.672,26.48415405,3,100,1.20173704,0.099105358,0.004484684,0.015302169,0.105168491,,0.108602,0.271689755,0,0.97299999,0.035577574,0.722564338,-0.270166679,0.121559199,6,1.0735,3.675,5.885898113,-0.017972067,0.023054279,0.531131327,0.503799766,0.05000199,0.740237277,-0.600000024,2.35800004
52,266240,177.2047509,1516,,0.314225501,0.645229844,0,2.909999847,89.66,26.44096065,3,100,1.220723939,0.106657282,-0.014015092,0.016658381,0.090862645,,0.10881,0.271360689,0,0.97299999,0.038085574,0.723192227,-0.269666679,0.121435396,6,1.0755,3.725,0,0,0,0,0,0.05290999,0.740934869,-0.600000024,2.35800004
53,271360,176.4225026,1545,,0.316109001,0.648635695,0,2.909999847,89.609,26.51277275,3,100,1.174123353,0.088750876,0.006996229,0.014704885,0.100655898,,0.109319,0.27205892,0,0.97299999,0.039054574,0.723859868,-0.268916679,0.123796175,6,1.0765,3.825,0,0,0,0,0,0.05426899,0.741919324,-0.600000024,2.35800004
54,276480,174.2319992,1575,,0.317921001,0.650195331,0,2.909999847,89.5245,26.56583143,3,100,1.159525752,0.123470497,-0.032682707,0.029230127,0.134247734,,0.1102295,0.272679659,0,0.97299999,0.042165074,0.726236541,-0.268666679,0.124237228,6,1.0765,3.825,5.877160549,0.08396659,-0.025462603,0.471822441,0.390179897,0.05762949,0.744105025,-0.600000024,2.35800004
55,281600,173.6603446,1604,,0.323223501,0.655205557,0,2.909999847,89.268,26.8484483,3,100,1.117370808,0.142366483,-0.001118453,0.016795513,0.113142111,,0.112888,0.275537863,0,0.97299999,0.049790241,0.732996038,-0.268250012,0.124745268,6,1.0755,3.791666667,0,0,0,0,0,0.06563799,0.750004784,-0.600000024,2.35800004
56,286720,166.8174326,1635,,0.325238001,0.654916411,0,2.909999847,89.191,26.9252023,3,100,1.042639151,0.103104385,0.00370804,0.014047151,0.152021349,,0.113681,0.2763308,0,0.97299999,0.053706991,0.735529554,-0.267250012,0.12647878,6,1.0765,3.841666667,5.865759373,0.258479059,-0.194242015,0.667353809,1.681144598,0.06943099,0.75114887,-0.600000024,2.35800004
57,291840,183.899761,1663,,0.330318501,0.660619755,0,2.909999847,88.9875,27.15622109,3,100,1.048422003,0.137532792,0.0020026,0.009272837,0.111798303,,0.1157625,0.278646943,0,0.97299999,0.057830491,0.74015945,-0.268000012,0.125181646,6,1.076,3.816666667,0,0,0,0,0,0.07341249,0.755957862,-0.600000024,2.35800004
58,296960,177.1140722,1692,,0.324709,0.655242098,0,2.909999847,89.1815,26.9498712,3,100,1.058767325,0.124844049,0.013309348,0.013647012,0.090066588,,0.1136665,0.276574406,0,0.97299999,0.05142399,0.734987626,-0.268250012,0.124745268,7,1.076,3.816666667,5.863274097,-0.068538532,0.067118332,0.578608751,1.306067301,0.06626649,0.749794127,-0.600000024,2.286000013
59,302080,174.7228592,1721,,0.326033501,0.656238837,0,2.909999847,89.153,27.01226742,3,100,0.999757054,0.123528603,-0.01145725,0.012266005,0.10563528,,0.114023,0.277121409,0,0.97299999,0.052830491,0.736269123,-0.268500012,0.124306856,7,1.0755,3.791666667,0,0,0,0,0,0.06757299,0.750991623,-0.600000024,2.286000013
60,307200,172.9339479,1750,,0.321659501,0.651661942,0,2.909999847,89.361,26.73687863,3,100,0.999731433,0.102057466,0.0014959,0.012421616,0.082503053,,0.111901,0.274436395,0,0.97299999,0.047625157,0.73079652,-0.268333345,0.124376221,7,1.076,3.833333333,0,0,0,0,0,0.06205099,0.745566798,-0.600000024,2.286000013
61,312320,165.6577511,1781,,0.319136501,0.65000371,0,2.909999847,89.444,26.63923542,3,100,0.989561906,0.10085161,0.017699476,0.006452783,0.069792271,,0.110954,0.27348186,0,0.97299999,0.044769657,0.727753656,-0.267583345,0.125683658,7,1.077,3.883333333,5.857573986,0.197653696,-0.048998203,0.56255585,2.288209941,0.05970399,0.742860255,-0.600000024,2.286000013
62,317440,173.4804194,1811,,0.316050501,0.646086834,0,2.909999847,89.622,26.42340092,3,100,0.929909092,0.090358339,0.006034133,0.016400099,0.075188337,,0.109202,0.271317419,0,0.97299999,0.041108157,0.723907218,-0.267583345,0.125683658,7,1.0765,3.858333333,0,0,0,0,0,0.05615199,0.739738859,-0.600000024,2.286000013
63,322560,168.6151329,1841,,0.312140501,0.641910479,0,2.909999847,89.815,26.03040098,3,100,0.939331621,0.105680795,-0.031029391,0.027807315,0.148218502,,0.107365,0.267698249,0,0.97299999,0.037033407,0.719027341,-0.268083345,0.12470273,7,1.0745,3.791666667,5.855927944,-0.058804411,-0.031226477,0.519892633,0.962068417,0.05211499,0.735815011,-0.600000024,2.286000013
64,327680,178.6971643,1870,,0.313498001,0.64153812,0,2.909999847,89.8295,25.98894822,3,100,0.999518088,0.085396318,0.010936918,0.005527476,0.061701335,,0.1071845,0.267341368,0,0.97299999,0.037952907,0.718304041,-0.266333345,0.128689549,7,1.078,4.016666667,0,0,0,0,0,0.05323449,0.735462521,-0.600000024,2.286000013
65,332800,171.3237714,1900,,0.317839501,0.647986775,0,2.909999847,89.5785,26.35776618,3,100,1.04836604,0.08382595,-0.012991023,0.013904041,0.121345451,,0.1096435,0.270910506,0,0.97299999,0.042472907,0.723815391,-0.266333345,0.128689549,7,1.0775,3.991666667,0,0,0,0,0,0.05844349,0.742219553,-0.600000024,2.555999994
66,337920,177.1366875,1929,,0.327768501,0.656918996,0,2.909999847,89.19,26.78945501,3,100,1.10382098,0.104653124,-0.006933342,0.010975301,0.085719344,,0.11369,0.275262774,0,0.97299999,0.053086074,0.734373136,-0.266916679,0.127595035,7,1.0775,3.975,5.861047268,0.063617416,0.009671777,0.480872393,0.561662755,0.06863999,0.752305038,-0.600000024,2.555999994
67,343040,167.0557505,1959,,0.340539001,0.668713642,0,2.909999847,88.593,27.4886404,3,100,1.071318352,0.126901472,-0.014516712,0.022316243,0.12559497,,0.119763,0.282214048,0,0.97299999,0.067925741,0.749196129,-0.267250012,0.126807789,7,1.0765,3.941666667,0,0,0,0,0,0.08311299,0.766169357,-0.600000024,2.555999994
68,348160,178.9831887,1988,,0.337468001,0.663852642,0,2.738999844,88.758,27.34261209,3,100,1.081634039,0.085902011,-0.000342877,0.018255838,0.100546678,,0.118028,0.280685005,0,0.97299999,0.065252241,0.745662404,-0.265500012,0.1297595,7,1.0795,4.091666667,5.877514839,0.151212469,-0.246641651,0.775542259,0.359146853,0.08072799,0.762346234,-0.600000024,2.555999994
69,353280,173.5496341,2018,,0.342625501,0.667890119,0,2.738999844,88.557,27.55637405,3,100,1.070820236,0.112273472,-0.006945651,0.014865953,0.117758692,,0.120037,0.282855961,0,0.97299999,0.069861241,0.750286197,-0.265500012,0.1297595,7,1.0805,4.141666667,0,0,0,0,0,0.08503699,0.766985784,-0.600000024,2.555999994
70,358400,177.2758446,2047,,0.344602501,0.669962311,0,2.738999844,88.5325,27.54810236,3,100,1.024730456,0.101518309,-0.006908728,0.018219484,0.113456068,,0.1203075,0.282842937,0,0.97299999,0.070021991,0.750154862,-0.265750012,0.129343401,7,1.081,4.166666667,5.882351398,0.172646642,-0.033244289,0.656461775,0.411483589,0.08530749,0.767396938,-0.600000024,2.555999994
71,363520,175.3321652,2076,,0.347198001,0.670507235,0,2.738999844,88.395,27.66385684,3,100,1.094871289,0.108836587,-0.002124317,0.011217613,0.08876247,,0.121695,0.28408008,0,0.97299999,0.074487241,0.754149478,-0.265500012,0.1297595,7,1.0815,4.191666667,0,0,0,0,0,0.08899499,0.770119967,-0.600000024,2.555999994
72,368640,168.9442556,2106,,0.337869001,0.661427869,0,2.738999844,88.854,27.10960501,3,100,1.019624928,0.095385078,-0.004393449,0.007554384,0.078120674,,0.117014,0.278626646,0,0.97299999,0.063406241,0.742725624,-0.264750012,0.130997005,7,1.083,4.266666667,0,0,0,0,0,0.07821399,0.759236039,-0.600000024,2.555999994
